file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/01_CTSM/components/cdeps/fox/examples/xml_output_program.f90,15,0,8,0,0,7,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_abort_flush.F90,117,0,29,50,19,20,50,1.7241,2,10.5,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_array_str.F90,94,0,62,9,2,21,9,0.1452,6,6.83,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_count_parse_input.F90,541,0,468,1,21,51,1,0.0021,7,63.57,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_format.F90,2380,0,1605,142,274,362,142,0.0885,103,14.96,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_parse_input.F90,2204,0,1947,6,63,189,6,0.0031,21,90.81,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_realtypes.f90,12,0,8,0,0,4,0,0.0,0,0.0,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_string.F90,35,0,23,1,2,9,1,0.0435,1,13.0,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_string_list.F90,191,0,147,4,2,38,4,0.0272,8,14.75,1
./models/01_CTSM/components/cdeps/fox/fsys/fox_m_fsys_varstr.F90,254,0,177,29,0,48,29,0.1638,17,8.71,1
./models/01_CTSM/components/cdeps/fox/fsys/m_ieee.f90,17,0,12,0,0,5,0,0.0,1,6.0,1
./models/01_CTSM/components/cdeps/fox/sax/FoX_sax.f90,34,0,26,2,0,6,2,0.0769,0,0.0,1
./models/01_CTSM/components/cdeps/fox/sax/m_sax_operate.F90,313,0,247,6,13,47,6,0.0243,5,33.2,1
./models/01_CTSM/components/cdeps/fox/sax/m_sax_parser.F90,3029,0,2645,174,34,183,174,0.0658,17,202.65,1
./models/01_CTSM/components/cdeps/fox/sax/m_sax_reader.F90,411,0,322,2,2,85,2,0.0062,17,16.82,1
./models/01_CTSM/components/cdeps/fox/sax/m_sax_tokenizer.F90,1139,0,1032,29,14,70,29,0.0281,4,325.0,1
./models/01_CTSM/components/cdeps/fox/sax/m_sax_types.F90,163,0,138,27,5,14,27,0.1957,0,0.0,1
./models/01_CTSM/components/cdeps/fox/sax/m_sax_xml_source.F90,438,0,372,11,5,54,11,0.0296,5,62.0,1
./models/01_CTSM/components/cdeps/fox/sax/test/m_canonicalize.f90,120,0,63,12,0,46,12,0.1905,9,5.67,1
./models/01_CTSM/components/cdeps/fox/sax/test/m_handlers.f90,121,0,64,12,0,46,12,0.1875,9,5.67,1
./models/01_CTSM/components/cdeps/fox/sax/test/sax_valid.ns.no.f90,56,0,38,4,0,14,4,0.1053,3,6.0,1
./models/01_CTSM/components/cdeps/fox/sax/test/sax_valid.ns.yes.f90,56,0,38,4,0,14,4,0.1053,3,6.0,1
./models/01_CTSM/components/cdeps/fox/sax/test/sax_well_formed.ns.no.f90,55,0,37,4,0,14,4,0.1081,3,6.0,1
./models/01_CTSM/components/cdeps/fox/sax/test/sax_well_formed.ns.yes.f90,55,0,37,4,0,14,4,0.1081,3,6.0,1
./models/01_CTSM/components/cdeps/fox/sax/test/test_sax_parser_1.f90,15,0,9,0,0,6,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/sax/test/test_sax_parser_2.f90,24,0,17,0,0,7,0,0.0,1,3.0,0
./models/01_CTSM/components/cdeps/fox/sax/test/test_sax_parser_3.f90,23,0,15,2,0,7,2,0.1333,1,3.0,0
./models/01_CTSM/components/cdeps/fox/sax/test/test_sax_parser_4.f90,24,0,13,1,0,10,1,0.0769,1,8.0,0
./models/01_CTSM/components/cdeps/fox/sax/test/test_sax_parser_5.f90,18,0,10,1,0,7,1,0.1,1,5.0,0
./models/01_CTSM/components/cdeps/fox/sax/test/test_sax_reader_1.f90,21,0,14,0,0,7,0,0.0,1,5.0,0
./models/01_CTSM/components/cdeps/fox/utils/fox_m_utils_mtprng.F90,360,0,128,155,2,76,155,1.2109,8,13.38,1
./models/01_CTSM/components/cdeps/fox/utils/fox_m_utils_uri.F90,1033,0,813,22,66,135,22,0.0271,42,18.21,1
./models/01_CTSM/components/cdeps/fox/utils/fox_m_utils_uuid.F90,247,0,148,48,9,53,48,0.3243,5,28.8,1
./models/01_CTSM/components/cdeps/fox/utils/FoX_utils.f90,22,0,17,0,0,5,0,0.0,0,0.0,1
./models/01_CTSM/components/cdeps/fox/utils/test/test_baseURI.f90,58,0,45,0,0,13,0,0.0,2,20.0,0
./models/01_CTSM/components/cdeps/fox/utils/test/test_nullURI.f90,61,0,44,3,0,14,3,0.0682,2,19.5,0
./models/01_CTSM/components/cdeps/fox/utils/test/test_rfc2396.f90,139,0,82,26,0,31,26,0.3171,2,38.5,0
./models/01_CTSM/components/cdeps/fox/utils/test/test_rfc2396b.f90,131,0,79,24,0,28,24,0.3038,2,37.0,0
./models/01_CTSM/components/cdeps/fox/utils/test/test_URI.f90,25,0,19,0,0,6,0,0.0,2,7.0,0
./models/01_CTSM/components/cdeps/fox/utils/test/test_UUID.f90,89,0,64,8,0,17,8,0.125,2,29.5,0
./models/01_CTSM/components/cdeps/fox/wcml/FoX_wcml.f90,81,0,57,4,0,20,4,0.0702,0,0.0,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_coma.F90,674,0,467,11,38,158,11,0.0236,18,21.22,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_core.F90,142,0,97,2,12,31,2,0.0206,5,15.2,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_geometry.F90,156,0,108,6,14,30,6,0.0556,6,14.0,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_inputdec.F90,280,0,186,42,18,37,42,0.2258,8,20.0,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_lattice.F90,242,0,186,8,10,38,8,0.043,4,40.5,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_lists.F90,282,0,162,5,30,85,5,0.0309,14,9.79,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_metadata.F90,38,0,26,0,4,8,0,0.0,1,17.0,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_molecule.F90,1646,0,1246,10,62,330,10,0.008,42,27.14,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_parameter.F90,1262,0,960,5,72,225,5,0.0052,35,25.03,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_property.F90,1122,0,820,5,72,225,5,0.0061,35,21.03,1
./models/01_CTSM/components/cdeps/fox/wcml/m_wcml_stml.F90,1001,0,749,5,2,245,5,0.0067,21,30.57,1
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddBandList_1.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddBandList_2.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddBandList_3.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddBandList_4.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddCrystal_1.f90,22,0,14,0,0,8,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddCrystal_2.f90,22,0,14,0,0,8,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddEigenValueVector_1.f90,17,0,13,0,0,4,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddEigenValueVector_2.f90,17,0,13,0,0,4,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddEigenValueVector_3.f90,17,0,13,0,0,4,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddEigenValueVector_4.f90,17,0,13,0,0,4,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddEigenValue_1.f90,16,0,12,0,0,4,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddEigenValue_2.f90,16,0,12,0,0,4,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddKpoint_1.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddKpoint_2.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddKpoint_3.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddKpoint_4.f90,14,0,10,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddLattice_1.f90,23,0,15,0,0,8,0,0.0,1,5.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddLattice_2.f90,23,0,15,0,0,8,0,0.0,1,5.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMetadata_1.f90,15,0,10,0,0,5,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_1.f90,27,0,18,0,0,9,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_10.f90,30,0,21,0,0,9,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_11.f90,30,0,21,0,0,9,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_12.f90,29,0,20,0,0,9,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_13.f90,29,0,20,0,0,9,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_14.f90,27,0,18,0,0,9,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/wcml/test/test_cmlAddMolecule_15.f90,27,0,18,0,0,9,0,0.0,1,6.0,0
