file,function,type,line,do_loops,is_recursive,cyclomatic_complexity,loc,volume,difficulty,effort,time,bugs
./models/01_CTSM/cime/CIME/non_py/cprnc/cprnc.F90,piocprnc,PROGRAM,1,2,False,18,89,2535.9400011538496,39.50819672131148,100190.41643902914,5566.13424661273,0.8453133337179499
./models/01_CTSM/cime/CIME/non_py/cprnc/cprnc.F90,parsearg,SUBROUTINE,201,2,False,6,33,922.4650082993567,39.96,36861.70173164229,2047.8723184245719,0.30748833609978554
./models/01_CTSM/cime/CIME/non_py/cprnc/cprnc.F90,print_fields_not_found,SUBROUTINE,265,0,False,5,23,353.042112555529,14.7,5189.719054566276,288.317725253682,0.11768070418517633
./models/01_CTSM/cime/CIME/non_py/cprnc/cprnc.F90,usage_exit,SUBROUTINE,184,0,False,2,12,175.1368500605771,7.0,1225.9579504240396,68.10877502355775,0.05837895002019237
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,compare_metadata,SUBROUTINE,118,1,False,19,94,2685.410598723446,38.22222222222222,102642.36066231839,5702.3533701288,0.8951368662411487
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,init_file_struct,SUBROUTINE,43,4,False,11,58,2024.4267455315376,51.75,104764.08408125707,5820.226893403171,0.6748089151771792
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,match_vars,SUBROUTINE,274,4,False,10,41,1043.4520883026382,26.0,27129.754295868595,1507.2085719926997,0.3478173627675461
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,compare_dimensions,SUBROUTINE,234,4,False,9,34,776.6932719896506,18.035714285714285,14008.217941241912,778.2343300689951,0.2588977573298835
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,compare_var_int,SUBROUTINE,378,1,False,6,42,1263.247052900895,16.568627450980394,20930.269798063848,1162.7927665591026,0.42108235096696495
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,compare_var_float,SUBROUTINE,432,1,False,6,42,1268.2438141124044,16.25,20608.96197932657,1144.9423321848094,0.42274793803746813
